Sample,,PC1,-PC2,PC2
HG00150,,-0.01815705025,0.03133763598,-0.03133763598
HG00151,,-0.01807181036,0.0311026104,-0.0311026104
HG00152,,-0.01863868721,0.03278413095,-0.03278413095
HG00154,,-0.01797787764,0.0328597957,-0.0328597957
HG00155,,-0.01891108812,0.03192479456,-0.03192479456
HG00156,,-0.01830454953,0.03184222586,-0.03184222586
HG00158,,-0.01872386458,0.03141037222,-0.03141037222
HG00159,,-0.0180626571,0.03273301557,-0.03273301557
HG00160,,-0.01843754834,0.03284991944,-0.03284991944
HG00171,,-0.02042861464,0.0264773362,-0.0264773362
HG00173,,-0.02003506873,0.02717524646,-0.02717524646
HG00174,,-0.01968956307,0.02887771251,-0.02887771251
HG00176,,-0.01956757478,0.02612396769,-0.02612396769
HG00177,,-0.01971132954,0.02569572528,-0.02569572528
HG00178,,-0.01965124042,0.02761982443,-0.02761982443
HG00179,,-0.01970161031,0.0270045777,-0.0270045777
HG00180,,-0.01968755898,0.02751252957,-0.02751252957
HG00182,,-0.01929043551,0.02703482065,-0.02703482065
HG00183,,-0.01933613065,0.02748221276,-0.02748221276
HG00185,,-0.01971553693,0.02644858107,-0.02644858107
HG00186,,-0.0193781071,0.02690044961,-0.02690044961
HG00187,,-0.01891452847,0.02661142946,-0.02661142946
HG00188,,-0.01960506305,0.0276892404,-0.0276892404
HG00189,,-0.0198001149,0.02653415582,-0.02653415582
HG00190,,-0.01919204334,0.02911121455,-0.02911121455
HG00231,,-0.01862587479,0.03223874379,-0.03223874379
HG00232,,-0.01783794253,0.03313702662,-0.03313702662
HG00233,,-0.01795592972,0.03303187864,-0.03303187864
HG00234,,-0.01844049583,0.03231030495,-0.03231030495
HG00235,,-0.01794740886,0.03174959754,-0.03174959754
HG00236,,-0.01758234253,0.03272819305,-0.03272819305
HG00237,,-0.01839598048,0.03274092217,-0.03274092217
HG00238,,-0.01802200648,0.03143861058,-0.03143861058
HG00239,,-0.01820467993,0.03344864082,-0.03344864082
HG00240,,-0.01799359584,0.03271719132,-0.03271719132
HG00242,,-0.01803329157,0.03187234768,-0.03187234768
HG00243,,-0.01804651613,0.03241276304,-0.03241276304
HG00244,,-0.01823264733,0.03244394333,-0.03244394333
HG00245,,-0.01813576343,0.03189907839,-0.03189907839
HG00246,,-0.01801996303,0.03246368014,-0.03246368014
HG00247,,-0.01819549222,0.03240509195,-0.03240509195
HG00249,,-0.01893872757,0.03288133731,-0.03288133731
HG00250,,-0.01861824264,0.03180709424,-0.03180709424
HG00251,,-0.01847540494,0.03207290405,-0.03207290405
HG00252,,-0.01833831043,0.0328339235,-0.0328339235
HG00253,,-0.0180902261,0.03310447152,-0.03310447152
HG00254,,-0.01807654729,0.03259096616,-0.03259096616
HG00255,,-0.01792017712,0.0322628572,-0.0322628572
HG00256,,-0.0186800483,0.03238534418,-0.03238534418
HG00257,,-0.01811091405,0.03229701337,-0.03229701337
HG00258,,-0.01841638521,0.03229314959,-0.03229314959
HG00259,,-0.01826441998,0.0326127254,-0.0326127254
HG00260,,-0.01856573439,0.03254743676,-0.03254743676
HG00261,,-0.0177067932,0.03211494292,-0.03211494292
HG00262,,-0.01914011528,0.03237520394,-0.03237520394
HG00263,,-0.01830551771,0.03314739204,-0.03314739204
HG00264,,-0.01816268633,0.03239935395,-0.03239935395
HG00265,,-0.01861786409,0.03345409929,-0.03345409929
HG00266,,-0.01932207791,0.02717796042,-0.02717796042
HG00267,,-0.02017287845,0.0266058868,-0.0266058868
HG00268,,-0.01933721895,0.02844607479,-0.02844607479
HG00269,,-0.01942721126,0.02715216058,-0.02715216058
HG00270,,-0.01969649801,0.02748954133,-0.02748954133
HG00271,,-0.01960707576,0.02543112567,-0.02543112567
HG00272,,-0.01902131935,0.02572785907,-0.02572785907
HG00273,,-0.01979664641,0.02776221707,-0.02776221707
HG00274,,-0.01982293759,0.02902843412,-0.02902843412
HG00275,,-0.01899587433,0.02911974458,-0.02911974458
HG00276,,-0.01940736935,0.02760985661,-0.02760985661
HG00277,,-0.01941634284,0.02895398171,-0.02895398171
HG00278,,-0.01949323566,0.0283155876,-0.0283155876
HG00280,,-0.0198164917,0.02714425715,-0.02714425715
HG00281,,-0.01992429217,0.02723058651,-0.02723058651
HG00282,,-0.01933613087,0.02723513663,-0.02723513663
HG00284,,-0.01989634425,0.02777614115,-0.02777614115
HG00285,,-0.01985032849,0.02648233122,-0.02648233122
HG00306,,-0.0196705724,0.02836094852,-0.02836094852
HG00309,,-0.0194588198,0.02734817887,-0.02734817887
HG00310,,-0.01964538243,0.02892542741,-0.02892542741
